fixationid,surface,world_timestamp,world_index,start_timestamp,duration,dispersion,norm_pos_x,norm_pos_y,x_scaled,y_scaled,on_surf,aoi,aoi_id,next_fixation_id,next_world_timestamp,next_aoi,transition,transition_duration,from_surface,to_surface
1,Mid,4363.276542,18,4363.266741,125.07000000096014,1.491110560527264,0.2175495363771915,0.9124247282743454,0.2196186482906341,0.9138556718826294,True,7,Mid|7,2.0,4363.410583,Left|9,Mid|7 -> Left|9,0.1340410000002521,Mid,Left
2159,Right,4836.361682,14131,4836.336555,217.86650000012744,1.2868269406455664,0.3195688426494598,0.2125383466482162,0.3195688426494598,0.2125383466482162,True,1,Right|1,2160.0,4836.562747,Mid|5,Right|1 -> Mid|5,0.20106500000019878,Right,Mid
2164,Mid,4837.702114,14171,4837.688827,217.8669999993872,0.3857357333411421,0.5097854520593371,0.4471353164740971,0.5455161929130554,0.4609890282154083,True,5,Mid|5,2164.0,4837.735625,Right|8,Mid|5 -> Right|8,0.0335110000005443,Mid,Right
2164,Right,4837.735625,14172,4837.688827,217.8669999993872,0.3857357333411421,0.3775789141654968,0.7384912967681885,0.3775789141654968,0.7384912967681885,True,8,Right|8,2165.0,4837.903179,Mid|5,Right|8 -> Mid|5,0.16755399999965448,Right,Mid
2176,Mid,4840.349466,14250,4840.352207,217.86700000029668,0.1591297444228396,0.5787108093500137,0.44068766385316843,0.581328809261322,0.4390408098697662,True,5,Mid|5,2177.0,4840.584042,Right|3,Mid|5 -> Right|3,0.23457600000074308,Mid,Right
2176,Right,4840.584042,14257,4840.352207,217.86700000029668,0.1591297444228396,0.6930578947067261,0.1350452452898025,0.6930578947067261,0.1350452452898025,True,3,Right|3,2177.0,4840.584042,Mid|5,Right|3 -> Mid|5,0.0,Right,Mid
2180,Mid,4841.254258,14277,4841.247882,217.86700000029668,1.4240989508014534,0.5582254784447807,0.47726488539150785,0.4298071265220642,0.628466010093689,True,5,Mid|5,2180.0,4841.321279,Right|8,Mid|5 -> Right|8,0.06702099999984057,Mid,Right
2180,Right,4841.321279,14279,4841.247882,217.86700000029668,1.4240989508014534,0.476471483707428,0.7580380439758301,0.476471483707428,0.7580380439758301,True,8,Right|8,2181.0,4841.455322,Mid|5,Right|8 -> Mid|5,0.13404300000001967,Right,Mid
2183,Mid,4841.924473,14297,4841.913586500001,189.62499999906868,0.3856778701354629,0.6185415685176849,0.466082900762558,0.6201075911521912,0.4659842848777771,True,5,Mid|5,2184.0,4842.125538,Dashboard|5,Mid|5 -> Dashboard|5,0.20106500000019878,Mid,Dashboard
2184,Dashboard,4842.125538,14303,4842.1395225,209.79799999986423,1.263171995288353,0.5998348668217659,0.43153995275497437,0.5970744490623474,0.4379201829433441,True,5,Dashboard|5,2185.0,4842.393625,Mid|5,Dashboard|5 -> Mid|5,0.2680869999994684,Dashboard,Mid
2230,Mid,4851.810157,14592,4851.822497,217.86650000012744,0.1561533679977241,0.6374439597129822,0.4291125014424324,0.6377984285354614,0.4274786710739136,True,5,Mid|5,2231.0,4852.111754,Dashboard|5,Mid|5 -> Dashboard|5,0.30159699999967415,Mid,Dashboard
2231,Dashboard,4852.111754,14601,4852.121055,165.41750000033062,1.4985562749850154,0.5519736806551615,0.4449133276939392,0.5549042820930481,0.444499671459198,True,5,Dashboard|5,2232.0,4852.37984,Mid|5,Dashboard|5 -> Mid|5,0.26808600000003935,Dashboard,Mid
2233,Mid,4852.480373,14612,4852.4639935,205.7635000001028,0.3211349770838513,0.6400919812066215,0.4109449344021933,0.6258363723754883,0.425150990486145,True,5,Mid|5,2234.0,4852.714948,Dashboard|5,Mid|5 -> Dashboard|5,0.23457499999949505,Mid,Dashboard
2234,Dashboard,4852.714948,14619,4852.706068,217.86700000120615,1.4690017465577412,0.5066079923084804,0.40160306862422396,0.5063982605934143,0.4006423950195312,True,5,Dashboard|5,2235.0,4853.016545,Mid|5,Dashboard|5 -> Mid|5,0.30159700000058365,Dashboard,Mid
2239,Mid,4853.922736,14655,4853.9204745,161.3825000003999,0.2356589977806516,0.5943516989549001,0.46203763286272687,0.595272421836853,0.4649211764335632,True,5,Mid|5,2240.0,4854.123801,Dashboard|5,Mid|5 -> Dashboard|5,0.20106499999928928,Mid,Dashboard
2241,Dashboard,4854.291355,14666,4854.283586,125.07150000055844,0.5069237786674216,0.5792757511138916,0.38745001554489134,0.5855896472930908,0.3834652900695801,True,5,Dashboard|5,2242.0,4854.458909,Mid|5,Dashboard|5 -> Mid|5,0.16755399999965448,Dashboard,Mid
