fixationid,world_timestamp,world_index,start_timestamp,duration,dispersion,norm_pos_x,norm_pos_y,x_scaled,y_scaled,on_surf,aoi,next_fixation_id,next_world_timestamp,next_aoi,transition,transition_duration
26,522975.308464,241,522975.276807,100.86499998578802,1.3964433171518478,0.3692314426104228,0.013978629062573066,0.3518612682819366,0.0308276619762182,True,2,34.0,522976.849967,8.0,2 -> 8.0,1.5415030000149272
34,522976.849967,287,522976.866434,104.89950003102422,1.4928718773253449,0.5354871392250061,0.7399587869644165,0.5398409962654114,0.7295765280723572,True,8,35.0,522976.984011,8.0,8 -> 8.0,0.13404400000581518
35,522976.984011,291,522976.9753685,133.1404999946244,0.990095648096304,0.3847195327281952,0.7549608588218689,0.5074474811553955,0.7757487297058105,True,8,41.0,522979.698396,1.0,8 -> 1.0,2.714384999999311
41,522979.698396,372,522979.6825755,92.79550000792368,1.4860449088311734,0.2515979707241058,0.1446728855371475,0.2515979707241058,0.1446728855371475,True,1,44.0,522980.234571,2.0,1 -> 2.0,0.5361749999574386
44,522980.234571,388,522980.243383,100.86449998198076,1.4154346008559713,0.529465839266777,0.03761180210858578,0.5304582715034485,0.036746259778738,True,2,45.0,522980.335104,2.0,2 -> 2.0,0.1005330000189133
45,522980.335104,391,522980.348282,153.3144999993965,1.4158344279968762,0.5615358352661133,0.04837521041433012,0.5622431635856628,0.0480513051152229,True,2,46.0,522980.502659,2.0,2 -> 2.0,0.16755499999271706
46,522980.502659,396,522980.505631,100.86449998198076,1.274786173445627,0.5375516265630722,0.06765589304268355,0.5302799344062805,0.058214247226715,True,2,56.0,522983.920774,3.0,2 -> 3.0,3.418115000007674
56,522983.920774,498,522983.9108215,96.82999999495225,1.4531043220785578,0.6816514581441879,0.010583651717752149,0.6831848621368408,0.002981106750667,True,3,63.0,522986.936758,9.0,3 -> 9.0,3.015983999997843
63,522986.936758,588,522986.9488645,100.86449992377312,1.372560677341618,0.8882530480623245,0.8409299403429031,0.879256010055542,0.8337339758872986,True,9,68.0,522989.718165,1.0,9 -> 1.0,2.7814070000313222
68,522989.718165,671,522989.732729,169.45249994751066,1.4640063405765686,0.30946456889311474,0.09220625211795168,0.3097677528858185,0.0879664942622184,True,1,69.0,522990.488917,5.0,1 -> 5.0,0.770751999982167
69,522990.488917,693,522990.479127,80.69200004683807,1.405334722425482,0.3546549280484517,0.6599091092745463,0.3483407199382782,0.6375880241394043,True,5,70.0,522990.555939,5.0,5 -> 5.0,0.06702199997380376
70,522990.555939,695,522990.561143,172.16299998108298,1.306820567432004,0.35723477602005005,0.39312314987182617,0.3391964435577392,0.3540498912334442,True,5,71.0,522991.025092,5.0,5 -> 5.0,0.46915300004184246
71,522991.025092,709,522991.015727,137.1760000474751,1.3558524324711825,0.4391968548297882,0.5548684477806092,0.4368129968643188,0.5742859244346619,True,5,72.0,522992.164464,8.0,5 -> 8.0,1.1393719999468885
72,522992.164464,743,522992.157515,117.00299999210984,1.471798933399428,0.6630219966173172,0.7273751795291901,0.7139504551887512,0.6406662464141846,True,8,73.0,522993.370857,1.0,8 -> 1.0,1.2063930000294931
73,522993.370857,779,522993.363856,185.59100001584736,1.4785346364893526,0.3324762533108393,0.2879170974095662,0.3289410471916199,0.2750169634819031,True,1,74.0,522993.538412,2.0,1 -> 2.0,0.16755499999271706
74,522993.538412,784,522993.5534815,181.55699997441843,0.9766623324681316,0.3389300661427634,0.2613278818981988,0.3401944637298584,0.2740152776241302,True,2,75.0,522994.677784,5.0,2 -> 5.0,1.1393720000050962
75,522994.677784,818,522994.671062,169.45300000952557,1.4276507101879827,0.35624576111634565,0.6232765018939972,0.3427273035049438,0.6185003519058228,True,5,76.0,522995.180448,5.0,5 -> 5.0,0.5026640000287443
76,522995.180448,833,522995.187489,80.69149998482317,1.388814198353065,0.5034514218568802,0.6366063505411148,0.496264100074768,0.644140899181366,True,5,77.0,522995.280981,5.0,5 -> 5.0,0.10053299996070564
77,522995.280981,836,522995.2722155,125.07199996616691,1.3198526562744664,0.501938134431839,0.5999265015125275,0.4886063635349273,0.6077185869216919,True,5,78.0,522995.415024,5.0,5 -> 5.0,0.13404299999820068
78,522995.415024,840,522995.4255295,112.9685000050813,1.4612373060580406,0.46966971158981324,0.6048654079437256,0.4526654481887817,0.6211220026016235,True,5,79.0,522995.917688,8.0,5 -> 8.0,0.5026640000287443
79,522995.917688,855,522995.9056455,92.79550000792368,1.4257111226559307,0.6496820648511251,0.7526411215464274,0.6133337616920471,0.7839308381080627,True,8,80.0,522996.018221,8.0,8 -> 8.0,0.10053299996070564
80,522996.018221,858,522996.0024755,112.96800000127404,1.3876109682586628,0.648034855723381,0.7027005851268768,0.6334719061851501,0.7256295680999756,True,8,81.0,522996.118754,8.0,8 -> 8.0,0.1005330000189133
81,522996.118754,861,522996.119478,169.45300000952557,1.4134751085315451,0.6279746890068054,0.6792137821515402,0.6200708746910095,0.6877129673957825,True,8,82.0,522996.286309,8.0,8 -> 8.0,0.16755499999271706
82,522996.286309,866,522996.2929655,189.6255000610836,1.4283840333493345,0.6224519780703953,0.7350101811545235,0.6299981474876404,0.7359218001365662,True,8,83.0,522996.822484,5.0,8 -> 5.0,0.5361750000156462
83,522996.822484,882,522996.8295655,104.89899996900932,1.4610418696279754,0.6269003301858902,0.6354376971721649,0.6319026350975037,0.6216042041778564,True,5,84.0,522996.956527,5.0,5 -> 5.0,0.13404299999820068
84,522996.956527,886,522996.9425335,80.69199998863041,1.4507884002624245,0.6304317514101664,0.5605370799700419,0.630691409111023,0.5486318469047546,True,5,85.0,522997.023549,5.0,5 -> 5.0,0.06702199997380376
85,522997.023549,888,522997.02726,108.93400001805276,1.4175422845251937,0.627375453710556,0.5204834192991257,0.625868022441864,0.5169177055358887,True,5,86.0,522997.124082,5.0,5 -> 5.0,0.1005330000189133
86,522997.124082,891,522997.1402285,84.72649997565895,0.5988501766860171,0.6171407550573349,0.47855507582426066,0.6228567361831665,0.4750951528549194,True,5,93.0,522998.49803,5.0,5 -> 5.0,1.3739480000222102
93,522998.49803,932,522998.511988,84.72649997565895,1.295902233083157,0.3993848189711571,0.38432614505290985,0.4043016731739044,0.3798265755176544,True,5,94.0,522998.632074,2.0,5 -> 2.0,0.13404400000581518
94,522998.632074,936,522998.6209215,100.86449998198076,1.2338691992743485,0.4656364694237709,0.25707454234361643,0.4659132361412048,0.25849249958992,True,2,95.0,522999.000694,8.0,2 -> 8.0,0.3686199999647215
95,522999.000694,947,522998.996138,80.69200004683807,0.8941931598625033,0.48051717877388,0.6812871694564819,0.4813494086265564,0.6909895539283752,True,8,96.0,522999.134738,2.0,8 -> 2.0,0.13404400000581518
96,522999.134738,951,522999.1413835,141.21049997629598,1.495177921644636,0.4384041130542755,0.0879204928874969,0.4549108445644378,0.108699195086956,True,2,97.0,522999.737935,2.0,2 -> 2.0,0.60319699998945
97,522999.737935,969,522999.7304325,80.69199998863041,1.277722242929949,0.3838616609573364,0.112792191406091,0.3868619203567505,0.1061687245965004,True,2,98.0,522999.972511,5.0,2 -> 5.0,0.23457600001711398
98,522999.972511,976,522999.968473,84.72649997565895,1.4451014302692244,0.46970505515734345,0.657142162322998,0.4751694798469543,0.6456381678581238,True,5,120.0,523008.819398,3.0,5 -> 3.0,8.846887000021525
120,523008.819398,1240,523008.8082515,96.82999999495225,1.3026085340338256,0.8842119425535202,0.18054231628775597,0.8851045966148376,0.1776459515094757,True,3,121.0,523008.919931,3.0,3 -> 3.0,0.10053299996070564
121,523008.919931,1243,523008.909116,92.79550000792368,1.3889128350404307,0.9122088551521301,0.1504151771465937,0.911569356918335,0.1493442207574844,True,3,122.0,523009.489617,3.0,3 -> 3.0,0.5696860000025481
122,523009.489617,1260,523009.490096,80.69199998863041,1.451116251372046,0.9729128877321879,0.0216210316866636,0.9725604057312012,0.0196648798882961,True,3,124.0,523009.791215,3.0,3 -> 3.0,0.30159799999091774
124,523009.791215,1269,523009.7805865,217.86699997028336,1.073099608100667,0.8121625014713832,0.006023738034335557,0.8107052445411682,0.0074229957535862,True,3,137.0,523017.264153,3.0,3 -> 3.0,7.472938000049908
137,523017.264153,1492,523017.2562605,144.94149998063222,1.2859946844440562,0.8296615421772003,0.13097577262669796,0.9247432947158812,0.0126252127811312,True,3,139.0,523018.872678,3.0,3 -> 3.0,1.608524999988731
139,523018.872678,1540,523018.859104,88.76100002089515,1.4135795116483982,0.7111884554227194,0.16955682635307312,0.7147963643074036,0.1686918884515762,True,3,140.0,523018.9397,3.0,3 -> 3.0,0.06702199997380376
140,523018.9397,1542,523018.955934,80.69199998863041,0.4096031266006035,0.7228823751211166,0.16291762143373487,0.720978856086731,0.1542710959911346,True,3,142.0,523019.643429,3.0,3 -> 3.0,0.7037290000007488
142,523019.643429,1563,523019.6363585,129.10700001521036,1.3415278281473844,0.8884491682052612,0.0188534371554851,0.8927949666976929,0.0195539984852075,True,3,146.0,523021.318976,6.0,3 -> 6.0,1.6755470000207424
146,523021.318976,1613,523021.290536,80.69200004683807,1.4668316373937935,0.9928547739982605,0.4733806550502777,0.9996095299720764,0.462378978729248,True,6,150.0,523023.061545,5.0,6 -> 5.0,1.7425689999945462
150,523023.061545,1665,523023.069786,108.93350001424552,1.4122517432200363,0.5613139867782593,0.5165592283010483,0.5693402290344238,0.5395238995552063,True,5,155.0,523026.915302,5.0,5 -> 5.0,3.853757000004407
