fixationid,aoi_id,world_timestamp
285,Mid|5,297.574603
285,Left|8,297.775665
286,Mid|5,297.809175
287,Mid|5,298.043748
288,Mid|5,298.144279
289,Mid|5,298.412363
290,Mid|5,298.613425
291,Mid|5,298.847998
292,Mid|5,298.948529
293,Mid|5,299.183102
294,Mid|5,299.317143
295,Mid|5,299.551716
296,Mid|5,299.685758
297,Mid|5,299.920331
298,Mid|5,300.054372
299,Mid|5,300.221924
300,Mid|5,300.456497
301,Mid|5,300.657559
302,Mid|5,300.858622
303,Mid|5,301.093195
304,Mid|5,301.294257
305,Mid|5,301.52883
306,Mid|5,301.763403
307,Mid|5,301.930955
308,Mid|5,302.165527
309,Mid|5,302.601163
310,Mid|5,302.668183
311,Mid|5,302.768715
312,Mid|5,302.969777
313,Mid|5,303.170839
314,Mid|5,303.371902
315,Mid|5,303.572964
316,Mid|5,303.807537
317,Mid|5,304.008599
318,Mid|5,304.243172
318,Left|8,304.276683
319,Mid|5,304.477745
320,Mid|5,304.678807
321,Mid|5,304.91338
322,Mid|5,305.147953
323,Mid|5,305.349015
324,Mid|5,305.583588
325,Mid|5,305.784651
326,Mid|5,305.885182
327,Left|8,306.086244
327,Mid|5,306.086244
328,Mid|5,306.287307
329,Mid|5,306.521879
330,Mid|5,306.756452
331,Mid|5,306.890494
332,Mid|5,307.125067
333,Mid|5,307.39315
334,Mid|5,307.527191
334,Left|8,307.594212
335,Mid|5,307.761764
336,Mid|5,307.996337
336,Left|9,307.996337
337,Mid|5,308.130379
338,Mid|5,308.364951
339,Mid|5,308.566014
340,Mid|5,308.800587
341,Mid|5,309.035159
342,Mid|5,309.236222
343,Mid|5,309.370263
344,Mid|5,309.571326
345,Mid|5,309.805899
346,Mid|5,309.90643
346,Left|9,309.973451
347,Mid|5,310.006961
348,Mid|5,310.208023
349,Mid|5,310.442596
350,Mid|5,310.677169
350,Left|3,310.7777
351,Mid|5,310.878231
352,Mid|5,311.112804
352,Left|3,311.246846
353,Mid|5,311.313867
354,Mid|5,311.380887
355,Mid|5,311.61546
356,Mid|5,311.850033
357,Mid|5,312.051095
358,Mid|5,312.185137
359,Mid|5,312.352689
360,Mid|5,312.486731
361,Mid|5,312.721303
362,Mid|5,312.855345
363,Mid|5,313.123428
364,Mid|5,313.223959
365,Mid|5,313.425022
366,Mid|5,313.860657
367,Mid|5,314.061719
368,Left|9,314.296292
368,Mid|5,314.296292
367,Left|9,314.296292
369,Mid|5,314.463844
370,Mid|5,314.698417
371,Mid|5,314.765438
372,Mid|2,315.000011
373,Mid|5,315.134052
374,Mid|5,315.301604
375,Mid|5,315.502667
375,Left|9,315.636708
376,Mid|5,315.77075
377,Mid|5,316.005323
378,Mid|5,316.239895
379,Mid|5,316.306916
380,Mid|5,316.574999
381,Mid|5,316.776062
382,Mid|5,316.977124
383,Mid|5,317.211697
384,Mid|5,317.412759
385,Mid|5,317.647332
386,Mid|5,317.881905
387,Mid|5,318.082967
388,Mid|5,318.384561
389,Mid|5,318.619134
389,Left|9,318.652644
390,Mid|5,318.820196
