fixationid,surface,world_timestamp,world_index,start_timestamp,duration,dispersion,norm_pos_x,norm_pos_y,x_scaled,y_scaled,on_surf,aoi,aoi_id,next_fixation_id,next_world_timestamp,next_aoi,transition,transition_duration,from_surface,to_surface
268,Left,293.955479,1686,293.8683225,217.86400000002004,0.8827602555400719,0.6650616526603699,0.6918662786483765,0.6650616526603699,0.6918662786483765,True,8.0,Left|8,269.0,294.089521,Mid|5,Left|8 -> Mid|5,0.13404199999996536,Left,Mid
273,Mid,294.893771,1714,294.889054,217.8639999999632,0.9503399155716528,0.5501948509897504,0.36605875406946453,0.5604624152183533,0.3598295748233795,True,5.0,Mid|5,273.0,294.960791,Left|8,Mid|5 -> Left|8,0.06701999999995678,Mid,Left
273,Left,294.960791,1716,294.889054,217.8639999999632,0.9503399155716528,0.386005699634552,0.8154920935630798,0.386005699634552,0.8154920935630798,True,8.0,Left|8,274.0,295.094833,Mid|5,Left|8 -> Mid|5,0.1340420000000222,Left,Mid
285,Mid,297.574603,1794,297.5881435,217.86299999996567,1.1698946702555384,0.523047961294651,0.4314505532383919,0.5286268591880798,0.4309571385383606,True,5.0,Mid|5,285.0,297.775665,Left|8,Mid|5 -> Left|8,0.20106199999997898,Mid,Left
285,Left,297.775665,1800,297.5881435,217.86299999996567,1.1698946702555384,0.4627187550067901,0.7946462631225586,0.4627187550067901,0.7946462631225586,True,8.0,Left|8,286.0,297.809175,Mid|5,Left|8 -> Mid|5,0.03350999999997839,Left,Mid
318,Mid,304.243172,1993,304.2450885,217.86400000002004,0.995422465240942,0.576547771692276,0.4208270348608493,0.575684130191803,0.4295655786991119,True,5.0,Mid|5,318.0,304.276683,Left|8,Mid|5 -> Left|8,0.033510999999975866,Mid,Left
318,Left,304.276683,1994,304.2450885,217.86400000002004,0.995422465240942,0.6414240598678589,0.7688203454017639,0.6414240598678589,0.7688203454017639,True,8.0,Left|8,319.0,304.477745,Mid|5,Left|8 -> Mid|5,0.20106200000003582,Left,Mid
326,Mid,305.885182,2042,305.8750315,193.65700000003017,1.4709785964691573,0.5100736121336619,0.3903546830018361,0.5109137296676636,0.3888811767101288,True,5.0,Mid|5,327.0,306.086244,Left|8,Mid|5 -> Left|8,0.20106200000003582,Mid,Left
327,Left,306.086244,2048,306.072723,217.8639999999632,0.909235250548879,0.5701493620872498,0.8108263611793518,0.5701493620872498,0.8108263611793518,True,8.0,Left|8,327.0,306.086244,Mid|5,Left|8 -> Mid|5,0.0,Left,Mid
334,Mid,307.527191,2091,307.5251475,217.8635000000213,0.952014197794214,0.4682006027017321,0.40067599075181143,0.4685770869255066,0.4082904458045959,True,5.0,Mid|5,334.0,307.594212,Left|8,Mid|5 -> Left|8,0.0670210000000111,Mid,Left
