fixationid,surface,world_timestamp,world_index,start_timestamp,duration,dispersion,norm_pos_x,norm_pos_y,x_scaled,y_scaled,on_surf,aoi,aoi_id,next_fixation_id,next_world_timestamp,next_aoi,transition,transition_duration,from_surface,to_surface
1215,Dashboard,4790.664588,7312,4790.6528845,217.86799999972573,0.7801869967069046,0.2917345975126539,0.5363943236214774,0.2926807701587677,0.5281221866607666,True,4,Dashboard|4,1215.0,4790.664588,Left|5,Dashboard|4 -> Left|5,0.0,Dashboard,Left
1215,Left,4790.664588,7312,4790.6528845,217.86799999972573,0.7801869967069046,0.6050052642822266,0.4632891714572906,0.6050052642822266,0.4632891714572906,True,5,Left|5,1216.0,4790.966187,Mid|4,Left|5 -> Mid|4,0.3015990000003512,Left,Mid
1224,Mid,4792.474183,7366,4792.4684535,217.86799999972573,0.9827857746870426,0.3899935569081987,0.5092228821345738,0.3847675323486328,0.5049101114273071,True,5,Mid|5,1224.0,4792.507694,Left|9,Mid|5 -> Left|9,0.033510999999634805,Mid,Left
1224,Left,4792.507694,7367,4792.4684535,217.86799999972573,0.9827857746870426,0.7927966713905334,0.7031945586204529,0.7927966713905334,0.7031945586204529,True,9,Left|9,1225.0,4792.675249,Mid|5,Left|9 -> Mid|5,0.16755499999999302,Left,Mid
1225,Mid,4792.675249,7372,4792.690356499999,185.59150000055524,0.743312081725496,0.38919208305222647,0.4841390933309282,0.3769508004188537,0.496536374092102,True,5,Mid|5,1226.0,4792.909826,Dashboard|4,Mid|5 -> Dashboard|4,0.23457700000017212,Mid,Dashboard
1226,Dashboard,4792.909826,7379,4792.924363,205.76450000044133,1.3926418177038202,0.2736201286315918,0.663510374724865,0.2709821462631225,0.6695412993431091,True,4,Dashboard|4,1226.0,4793.010359,Left|4,Dashboard|4 -> Left|4,0.10053299999981391,Dashboard,Left
1226,Left,4793.010359,7382,4792.924363,205.76450000044133,1.3926418177038202,0.1763692051172256,0.4704038798809051,0.1763692051172256,0.4704038798809051,True,4,Left|4,1227.0,4793.144403,Dashboard|4,Left|4 -> Dashboard|4,0.1340440000003582,Left,Dashboard
1227,Dashboard,4793.144403,7386,4793.1381965,217.868499999895,1.455422697718774,0.290337724345071,0.46388037715639385,0.2836782336235046,0.4622780382633209,True,4,Dashboard|4,1228.0,4793.479513,Mid|5,Dashboard|4 -> Mid|5,0.33510999999998603,Dashboard,Mid
1228,Mid,4793.479513,7396,4793.4730685,217.86799999972573,1.25677884085329,0.3420405515602657,0.5049276947975159,0.3490008115768432,0.5126317739486694,True,5,Mid|5,1228.0,4793.613557,Left|2,Mid|5 -> Left|2,0.13404399999944872,Mid,Left
1228,Left,4793.613557,7400,4793.4730685,217.86799999972573,1.25677884085329,0.6559606790542603,0.2705528736114502,0.6559606790542603,0.2705528736114502,True,2,Left|2,1229.0,4793.814623,Mid|4,Left|2 -> Mid|4,0.20106600000053731,Left,Mid
