fixationid,world_timestamp,world_index,start_timestamp,duration,dispersion,norm_pos_x,norm_pos_y,x_scaled,y_scaled,on_surf,aoi,next_fixation_id,next_world_timestamp,next_aoi
200,523243.126441,2702,523243.1358295,177.52150003798306,1.394285013203543,0.47489633730479647,0.6014898674828666,0.4766819775104522,0.601385235786438,True,5,201.0,523245.103581,9.0
201,523245.103581,2761,523245.1127735,88.7605000170879,1.4284127166097589,0.9521073549985886,0.7799468785524368,0.9466927647590636,0.7616389989852905,True,9,202.0,523245.204114,9.0
202,523245.204114,2764,523245.2055685,96.82950004935265,1.478593673709396,0.9343312978744507,0.757730022072792,0.9431032538414,0.737095296382904,True,9,207.0,523249.661059,9.0
207,523249.661059,2897,523249.6637775,84.72649997565895,1.460188473260661,0.7739735990762711,0.9888278394937515,0.7670126557350159,0.9818035364151,True,9,224.0,523257.201002,7.0
224,523257.201002,3122,523257.197583,96.82899998733774,1.2091831199442682,0.2759971469640732,0.7811633199453354,0.1996603310108184,0.8097855448722839,True,7,225.0,523257.335045,8.0
225,523257.335045,3126,523257.31862,80.69100003922358,1.3480221620535264,0.35421250263849885,0.7122402191162109,0.3536172807216644,0.7184622883796692,True,8,226.0,523257.5026,6.0
226,523257.5026,3131,523257.488072,169.45200000191107,1.192816165084147,0.725475917259852,0.4239542732636134,0.7137333750724792,0.4275622069835663,True,6,230.0,523259.07761,2.0
230,523259.07761,3178,523259.0885535,96.82949999114498,1.4538866795820653,0.5939044207334518,0.24093401059508318,0.602569580078125,0.2438975423574447,True,2,232.0,523259.982403,8.0
232,523259.982403,3205,523259.9963335,84.7259999718517,1.4016279362422863,0.35721341520547867,0.6938248425722122,0.3652402460575104,0.6863662004470825,True,8,260.0,523269.935129,8.0
260,523269.935129,3502,523269.945604,80.69149998482317,1.2545858708692816,0.6042040884494781,0.8992822021245956,0.6299415826797485,0.8863250613212585,True,8,271.0,523280.021898,6.0
271,523280.021898,3803,523280.015912,80.69149998482317,1.4735214175010938,0.6764445304870605,0.4636356333891551,0.6784266829490662,0.4628318548202514,True,6,283.0,523284.411821,8.0
283,523284.411821,3934,523284.4055335,80.69149998482317,1.4845946354546478,0.4760039846102397,0.8628120621045431,0.4782915413379669,0.8656530976295471,True,8,296.0,523289.706536,9.0
296,523289.706536,4092,523289.6101395,88.76099996268749,1.2605711784352085,0.6959631443023682,0.7686653733253479,0.6959631443023682,0.7686653733253479,True,9,316.0,523298.184784,9.0
316,523298.184784,4345,523298.179585,181.5554999629967,1.3171352423147125,0.7171446879704794,0.8737331728140513,0.7159110307693481,0.8752729892730713,True,9,343.0,523306.394945,6.0
343,523306.394945,4590,523306.4101245,112.9685000050813,1.2424600487318214,0.9116949319839478,0.4364215075969696,0.9181182980537416,0.4334320724010467,True,6,347.0,523307.601336,9.0
