from_surface,to_surface,world_timestamp,next_world_timestamp,transition_duration
Left,Right,523282.43468,523282.468191,0.03351099998690188
Right,Left,523282.468191,523282.501702,0.03351099998690188
Left,Right,523282.501702,523282.903832,0.40213000000221655
Right,Right,523282.903832,523283.004364,0.1005320000112988
Right,Right,523283.004364,523283.305962,0.30159799999091774
Right,Left,523283.305962,523283.339473,0.03351100004510954
Left,Right,523283.339473,523283.875647,0.5361739999498241
Right,Mid,523283.875647,523284.411821,0.5361740000080317
Mid,Right,523284.411821,523284.847462,0.4356409999891184
Right,Left,523284.847462,523284.880973,0.03351100004510954
Left,Right,523284.880973,523285.350125,0.4691519999760203
Right,Left,523285.350125,523286.422472,1.072347000008449
Left,Left,523286.422472,523287.059178,0.6367060000193305
Left,Right,523287.059178,523287.1262,0.06702199997380376
Right,Left,523287.1262,523287.293754,0.16755399998510256
Left,Left,523287.293754,523287.49482,0.2010660000378266
Left,Right,523287.49482,523287.930461,0.4356409999891184
Right,Right,523287.930461,523288.098015,0.16755399998510256
Right,Right,523288.098015,523288.165037,0.06702200003201142
Right,Left,523288.165037,523288.29908,0.13404299999820068
Left,Right,523288.29908,523288.734721,0.4356409999891184
Right,Left,523288.734721,523288.801743,0.06702199997380376
Left,Right,523288.801743,523289.170363,0.36862000002292916
Right,Left,523289.170363,523289.270895,0.1005320000112988
Left,Right,523289.270895,523289.404939,0.13404399994760752
Right,Right,523289.404939,523289.606004,0.2010650000302121
Right,Mid,523289.606004,523289.706536,0.1005320000112988
Mid,Left,523289.706536,523290.376754,0.6702180000138469
Left,Right,523290.376754,523290.376754,0.0
Right,Right,523290.376754,523290.510797,0.13404299999820068
Right,Right,523290.510797,523290.577819,0.06702199997380376
Right,Left,523290.577819,523290.644841,0.06702199997380376
Left,Right,523290.644841,523290.778884,0.13404300005640835
Right,Left,523290.778884,523290.778884,0.0
Left,Right,523290.778884,523291.315058,0.5361739999498241
Right,Left,523291.315058,523291.449101,0.13404299999820068
Left,Right,523291.449101,523291.918253,0.46915200003422797
Right,Left,523291.918253,523291.951764,0.03351099998690188
Left,Right,523291.951764,523292.890068,0.9383040000102483
Right,Left,523292.890068,523292.95709,0.06702199997380376
Left,Right,523292.95709,523293.124644,0.16755400004331023
Right,Right,523293.124644,523293.225177,0.10053299996070564
Right,Right,523293.225177,523293.426242,0.2010650000302121
Right,Left,523293.426242,523295.973067,2.5468249999685213
Left,Right,523295.973067,523295.973067,0.0
Right,Right,523295.973067,523297.112437,1.1393699999898672
Right,Right,523297.112437,523297.24648,0.13404299999820068
Right,Left,523297.24648,523297.279991,0.03351100004510954
Left,Right,523297.279991,523297.682121,0.40213000000221655
Right,Right,523297.682121,523297.782654,0.10053299996070564
Right,Mid,523297.782654,523298.184784,0.40213000000221655
Mid,Right,523298.184784,523298.653936,0.46915200003422797
Right,Left,523298.653936,523298.653936,0.0
Left,Right,523298.653936,523298.754469,0.10053299996070564
Right,Left,523298.754469,523298.888512,0.13404299999820068
Left,Right,523298.888512,523298.922023,0.03351100004510954
Right,Left,523298.922023,523298.989045,0.06702199997380376
Left,Right,523298.989045,523299.290642,0.30159699998330325
Right,Right,523299.290642,523299.458197,0.16755500005092472
Right,Right,523299.458197,523299.893838,0.4356409999891184
Right,Right,523299.893838,523300.061392,0.16755399998510256
Right,Right,523300.061392,523300.228947,0.16755499999271706
Right,Right,523300.228947,523301.100229,0.8712819999782369
Right,Left,523301.100229,523301.13374,0.03351100004510954
Left,Right,523301.13374,523301.234272,0.10053199995309114
Right,Left,523301.234272,523301.267783,0.03351100004510954
Left,Right,523301.267783,523301.401827,0.13404400000581518
Right,Left,523301.401827,523301.401827,0.0
Left,Right,523301.401827,523301.803957,0.40213000000221655
Right,Left,523301.803957,523301.837468,0.03351099998690188
Left,Right,523301.837468,523302.373642,0.5361740000080317
