fixationid,aoi_id,world_timestamp
0,Dashboard|9,522967.863231
262,Dashboard|7,523083.883153
263,Dashboard|7,523084.117729
263,Mid|1,523084.117729
264,Mid|2,523084.318795
264,Dashboard|7,523084.318795
265,Dashboard|7,523084.452838
265,Mid|2,523084.452838
266,Mid|2,523084.653904
266,Dashboard|7,523084.653904
267,Mid|2,523084.754436
267,Dashboard|7,523084.754436
268,Mid|3,523085.324121
269,Mid|3,523085.424654
270,Mid|2,523085.860295
271,Mid|2,523085.960828
272,Mid|2,523086.497002
273,Mid|2,523086.564024
274,Mid|2,523087.100198
274,Dashboard|9,523087.100198
275,Mid|2,523087.200731
276,Mid|2,523087.669883
277,Mid|2,523088.273079
277,Dashboard|8,523088.273079
277,Left|1,523088.340101
278,Dashboard|5,523088.340101
279,Left|2,523088.574677
278,Left|1,523088.574677
279,Dashboard|5,523088.574677
280,Left|8,523089.747558
281,Left|8,523089.81458
282,Left|5,523090.082667
283,Left|8,523090.451286
284,Left|5,523090.551819
285,Left|5,523090.786395
286,Left|5,523090.987135
287,Left|6,523091.523309
296,Mid|6,523095.678656
297,Mid|6,523095.678656
300,Right|7,523096.818025
301,Right|7,523096.918558
302,Right|7,523097.01909
303,Right|7,523097.454731
304,Right|7,523097.655797
305,Right|7,523098.225481
306,Right|7,523098.359525
307,Mid|9,523098.895698
308,Mid|9,523099.599426
309,Right|3,523099.867513
309,Left|2,523099.901024
310,Right|3,523099.934535
310,Left|1,523100.169111
311,Dashboard|8,523100.537731
312,Right|5,523101.610078
312,Left|2,523101.6771
313,Right|2,523103.051045
313,Left|1,523103.151578
314,Right|2,523103.185088
314,Left|3,523103.25211
315,Right|2,523103.821795
316,Mid|5,523104.961164
317,Mid|5,523105.128718
318,Mid|5,523105.229251
319,Dashboard|4,523105.664892
320,Dashboard|2,523105.96649
320,Left|4,523106.067023
321,Dashboard|7,523106.234577
321,Mid|2,523106.234577
322,Mid|2,523106.469153
322,Dashboard|8,523106.469153
323,Mid|9,523106.837772
324,Right|7,523107.038837
325,Right|8,523107.13937
326,Mid|2,523107.642033
327,Mid|2,523107.742566
328,Mid|2,523107.977142
329,Mid|3,523108.513315
330,Mid|3,523108.613848
330,Left|2,523108.71438
331,Mid|4,523109.015978
332,Mid|2,523109.150022
333,Mid|5,523109.317576
334,Dashboard|6,523109.887261
335,Left|5,523110.155347
336,Left|5,523110.25588
338,Mid|4,523110.758543
339,Mid|7,523110.892586
340,Mid|7,523110.993119
342,Right|1,523112.233021
343,Left|1,523112.333553
342,Left|1,523112.333553
343,Right|1,523112.333553
344,Left|2,523112.434086
344,Right|1,523112.434086
345,Right|1,523112.702173
346,Right|1,523112.903238
346,Left|1,523112.936749
347,Right|1,523113.439412
347,Left|2,523113.439412
349,Right|1,523113.741009
349,Left|2,523113.741009
348,Left|2,523113.741009
350,Right|1,523113.808031
351,Right|1,523113.942075
352,Mid|7,523114.645803
353,Mid|7,523114.846868
354,Mid|7,523115.047933
355,Right|8,523115.483574
356,Right|8,523115.617618
357,Right|8,523115.751661
358,Left|1,523116.019748
359,Right|1,523116.053259
359,Left|2,523116.053259
360,Mid|7,523116.689965
361,Mid|7,523116.857519
362,Mid|7,523117.092095
363,Mid|7,523117.159117
364,Left|5,523117.829334
365,Left|4,523117.929867
366,Left|4,523118.06391
367,Mid|1,523118.566573
368,Mid|1,523118.734128
369,Mid|7,523119.236791
370,Mid|8,523119.60541
372,Right|8,523120.912334
373,Right|8,523121.012866
374,Right|8,523121.14691
375,Right|8,523121.381486
376,Right|8,523121.616062
377,Mid|5,523122.185746
378,Dashboard|3,523122.487344
379,Dashboard|6,523122.621387
380,Dashboard|6,523122.755431
381,Dashboard|6,523123.425648
381,Left|4,523123.49267
382,Dashboard|3,523123.660224
382,Left|4,523123.693735
386,Mid|1,523124.699061
387,Mid|1,523124.799593
389,Mid|5,523126.274071
390,Mid|1,523126.575669
391,Mid|1,523127.078332
392,Mid|1,523127.212375
393,Mid|1,523127.547484
394,Mid|1,523127.748549
395,Left|1,523128.251212
396,Right|1,523128.485788
396,Left|2,523128.519299
397,Left|2,523128.519299
398,Right|3,523129.926755
399,Left|2,523129.993777
399,Right|3,523129.993777
398,Left|2,523129.993777
404,Right|5,523132.07145
406,Left|2,523133.177308
407,Left|2,523133.378374
408,Left|5,523133.411884
