fixationid,world_timestamp,world_index,start_timestamp,duration,dispersion,norm_pos_x,norm_pos_y,x_scaled,y_scaled,on_surf,aoi,next_fixation_id,next_world_timestamp,next_aoi
1116,7107.453823,7383,7107.464937000001,217.86900000006423,0.3024651770333995,0.48456539852278574,0.4680296118770327,0.4854549467563629,0.5162507891654968,True,5,1117.0,7107.688401,5.0
1117,7107.688401,7390,7107.6868405000005,217.86950000023356,0.742836015341909,0.5256668201514653,0.4919086481843676,0.2611142694950104,0.7487221956253052,True,5,1118.0,7107.922978,5.0
1118,7107.922978,7397,7107.9087445000005,217.86900000006423,0.3421309157406461,0.5394250651200613,0.5247963567574819,0.479692280292511,0.5670971870422363,True,5,1119.0,7108.124045,5.0
1119,7108.124045,7403,7108.130648,217.86900000006423,0.7606001692610006,0.5301885232329369,0.5281298980116844,0.6159957051277161,0.4715404510498047,True,5,1120.0,7108.358622,5.0
1120,7108.358622,7410,7108.3525515,217.86900000006423,0.179510399942961,0.6388352413972219,0.4662347634633382,0.5970344543457031,0.4907046258449554,True,5,1121.0,7108.559689,5.0
1121,7108.559689,7416,7108.574455,84.72650000021531,0.7009899792218022,0.6349063515663147,0.358931561311086,0.8506807684898376,0.3118123412132263,True,5,1122.0,7108.727245,5.0
1122,7108.727245,7421,7108.715245,217.86900000006423,0.458499429122283,0.47208412630217417,0.49373914514269146,0.3604112863540649,0.5997999906539917,True,5,1123.0,7108.961822,5.0
1123,7108.961822,7428,7108.961777500001,217.86949999932403,1.2745540398671926,0.5347575880587101,0.41324955597519875,0.611855685710907,0.4615383446216583,True,5,1124.0,7109.1964,5.0
1124,7109.1964,7435,7109.183681500001,217.86900000006423,0.2079489201767752,0.4989522972277233,0.40384791152817856,0.5991931557655334,0.487004280090332,True,5,1125.0,7109.397466,5.0
1125,7109.397466,7441,7109.405585,217.86900000006423,0.2146904966159027,0.5426106676459312,0.4574965331703424,0.2133429646492004,0.1831917315721511,True,5,1126.0,7109.632044,5.0
1126,7109.632044,7448,7109.627489,161.3839999990887,0.6946575997403468,0.5338810175657273,0.42789971828460693,0.6330718398094177,0.4843094944953918,True,5,1127.0,7109.833111,5.0
1127,7109.833111,7454,7109.82115,157.3499999994965,0.5516465635640585,0.4858609676361084,0.4889233231544495,0.392993688583374,0.5854148864746094,True,5,1128.0,7110.034177,5.0
1128,7110.034177,7460,7110.047508,129.10700000065845,0.2936039626176059,0.472967666387558,0.5007458508014679,0.3628639578819275,0.6164494156837463,True,5,1129.0,7110.235244,5.0
1129,7110.235244,7466,7110.236715,217.86900000006423,0.5338155389518139,0.6309128850698471,0.44069019705057144,0.6198670268058777,0.4377770721912384,True,5,1130.0,7110.469821,5.0
1130,7110.469821,7473,7110.4586185,217.86900000006423,1.3239143544573837,0.6338874399662018,0.48392653465270996,0.6632716655731201,0.4504969716072082,True,5,1131.0,7110.670888,5.0
1131,7110.670888,7479,7110.680522,217.86900000006423,0.3526012162103981,0.5659223329275846,0.4472204837948084,0.3447986245155334,0.70939040184021,True,5,1132.0,7110.905466,5.0
1132,7110.905466,7486,7110.9024255,217.86950000023356,0.3519665910680751,0.599234422047933,0.4582852174838384,0.5236412882804871,0.5601034164428711,True,5,1133.0,7111.140043,5.0
1133,7111.140043,7493,7111.1243295,217.868499999895,0.8683991036132176,0.5876285306044987,0.47198860560144695,0.6119086146354675,0.4648053646087646,True,5,1134.0,7111.34111,5.0
1134,7111.34111,7499,7111.3462325,217.86950000023356,0.3299535199839512,0.5166143476963043,0.5200024545192719,0.445100873708725,0.5790701508522034,True,5,1135.0,7111.575688,5.0
1135,7111.575688,7506,7111.5681365,217.86900000006423,0.3840596986209954,0.48829719175895053,0.4273221691449483,0.3492744266986847,0.6621754169464111,True,5,1136.0,7111.776754,5.0
1136,7111.776754,7512,7111.79004,217.86950000023356,0.3104738337465703,0.5082353372126818,0.44150809571146965,0.5941956639289856,0.4469254910945892,True,5,1137.0,7112.011332,5.0
1137,7112.011332,7519,7112.011944,189.626500000486,0.6163958187187663,0.4782577965940748,0.35230170828955515,0.5946207046508789,0.4075118005275726,True,5,1138.0,7112.547509,5.0
1138,7112.547509,7535,7112.544512500001,217.868499999895,0.1904273226938072,0.5760349084933599,0.4912942945957184,0.397038072347641,0.625412106513977,True,5,1139.0,7112.782087,5.0
1139,7112.782087,7542,7112.7664155,217.86950000023356,0.2550381487538674,0.49878102966717314,0.4672543832233974,0.4184092283248901,0.6096224784851074,True,5,1140.0,7112.983154,5.0
1140,7112.983154,7548,7112.9883195,217.86900000006423,0.8759125958256773,0.5917516425251961,0.4944756366312504,0.5116905570030212,0.5573354363441467,True,5,1141.0,7113.217731,5.0
1141,7113.217731,7555,7113.210223,217.86950000023356,0.1498548683783374,0.6161096096038818,0.4594524602095286,0.641986608505249,0.4436440467834472,True,5,1142.0,7113.418798,5.0
1142,7113.418798,7561,7113.432127,217.868499999895,0.3687888880818458,0.6212883591651917,0.46392157673835754,0.6107287406921387,0.4528796374797821,True,5,1143.0,7113.686887,5.0
1143,7113.686887,7569,7113.6540305,217.86900000006423,0.2487841300098693,0.5418822392821312,0.41622740775346756,0.6280192732810974,0.4774570763111114,True,5,1144.0,7113.921464,5.0
1144,7113.921464,7576,7113.875934,217.86900000006423,1.2331390881074158,0.5128772060076395,0.5587484339872996,0.4739851355552673,0.5991168022155762,True,5,1145.0,7114.08902,5.0
1145,7114.08902,7581,7114.0978375,217.86900000006423,0.246662251671044,0.5653243015209833,0.5223067849874496,0.6481044888496399,0.4763526618480682,True,5,1146.0,7114.357108,5.0
1146,7114.357108,7589,7114.3600875,112.9689999997936,1.492026734048893,0.5889214873313904,0.44651296734809875,0.6214852333068848,0.4558053314685821,True,5,1147.0,7114.491153,5.0
1147,7114.491153,7593,7114.477091000001,217.8689999991548,0.3641977772251714,0.5653627514839172,0.36113369677748,0.2984679341316223,0.2410902827978134,True,5,1148.0,7114.692219,5.0
1148,7114.692219,7599,7114.698995,121.03800000022602,1.096452068885443,0.5625677704811096,0.43849526047706605,0.566238284111023,0.4217110276222229,True,5,1149.0,7114.826264,5.0
1149,7114.826264,7603,7114.8240675,217.86900000006423,1.0801443142785874,0.5630208651224772,0.4738195240497589,0.6151503324508667,0.4467284381389618,True,5,1150.0,7115.060841,5.0
1150,7115.060841,7610,7115.0459715,217.868499999895,1.2113642527130233,0.5313729984419686,0.4673583337238857,0.594085156917572,0.4608116149902344,True,5,1151.0,7115.261908,5.0
1151,7115.261908,7616,7115.267875,217.868499999895,0.2553510383533318,0.5673283381121499,0.4199304814849581,0.5489599704742432,0.5012639760971069,True,5,1152.0,7115.496486,5.0
1152,7115.496486,7623,7115.489777999999,217.86950000023356,0.1767356590218258,0.5901635800089154,0.48244087185178486,0.5952776074409485,0.482980877161026,True,5,1153.0,7115.697552,5.0
1153,7115.697552,7629,7115.711682,189.626500000486,0.8443876391183175,0.5067345883165087,0.458845779299736,0.5769216418266296,0.4747129678726196,True,5,1154.0,7115.898619,5.0
1154,7115.898619,7635,7115.905343,80.69249999971362,1.4803707397968364,0.5465304851531982,0.42167507112026215,0.5607926249504089,0.4071683287620544,True,5,1155.0,7115.999152,5.0
1155,7115.999152,7638,7115.99007,217.86900000006423,0.5365692554040908,0.5832609832286835,0.3630310967564583,0.5233010053634644,0.4203354716300964,True,5,1156.0,7116.267241,5.0
1156,7116.267241,7646,7116.2119735,173.48800000036135,0.4426760238572382,0.3986103594303131,0.536852365732193,0.3929365873336792,0.551343560218811,True,5,1157.0,7116.401285,5.0
1157,7116.401285,7650,7116.413294,218.27900000062075,1.485577274387263,0.5512843380371729,0.49983014166355133,0.5919752717018127,0.4772586226463318,True,5,1158.0,7116.635863,5.0
1158,7116.635863,7657,7116.6356080000005,217.86900000006423,0.3096984224205762,0.5556206958634513,0.4933826412473406,0.576549232006073,0.4614488184452057,True,5,1159.0,7116.937463,5.0
1159,7116.937463,7666,7116.8575115,217.86900000006423,0.1808998334651244,0.5689418688416481,0.4579748511314392,0.6040331721305847,0.4283140003681183,True,5,1160.0,7117.105018,5.0
1160,7117.105018,7671,7117.0794155,217.868499999895,0.3508640013466012,0.5633498302527836,0.4529013591153281,0.5853677988052368,0.4493626952171325,True,5,1161.0,7117.306085,5.0
1161,7117.306085,7677,7117.3013185,217.86900000006423,0.4237752445400857,0.4481217988899776,0.47725364565849304,0.5320037603378296,0.4544867575168609,True,5,1162.0,7117.507151,5.0
1162,7117.507151,7683,7117.523222,217.86950000023356,0.3063041963639902,0.4724827576428652,0.3883711453527212,0.2371504753828048,0.218690812587738,True,5,1163.0,7117.741729,5.0
1163,7117.741729,7690,7117.745126,217.86900000006423,0.3652577020648728,0.42985591292381287,0.45475931465625763,0.5252803564071655,0.4467512369155884,True,5,1164.0,7117.976307,5.0
1164,7117.976307,7697,7117.9670295,217.86900000006423,0.369951643018526,0.42710336049397785,0.3365572765469551,0.5385251641273499,0.4163773357868194,True,5,1165.0,7118.177373,5.0
