fixationid,surface,world_timestamp,world_index,start_timestamp,duration,dispersion,norm_pos_x,norm_pos_y,x_scaled,y_scaled,on_surf,aoi,aoi_id,session_id,next_fixation_id,next_world_timestamp,next_aoi,transition,transition_duration,from_surface,to_surface
1,Right,4545.699089,4,4545.696316,217.86799999972573,0.5987711344741063,0.3075613379478454,0.7115436281476702,0.3145481050014496,0.7111920118331909,True,7,Right|7,NA3_delay2:000,1.0,4545.900155,Left|3,Right|7 -> Left|3,0.20106600000053731,Right,Left
2732,Mid,2930.469948,16459,2930.482269,217.868499999895,1.2537736827169312,0.37364383786916733,0.48389443755149836,0.3744755983352661,0.4881127476692199,True,5,Mid|5,NA3_baseline:000,2733.0,2930.738036,Dashboard|7,Mid|5 -> Dashboard|7,0.2680880000002617,Mid,Dashboard
2733,Dashboard,2930.738036,16467,2930.7404835,145.24600000004284,1.4028358371639078,0.2607751190662384,0.6722896099090576,0.2653670907020569,0.6674787402153015,True,7,Dashboard|7,NA3_baseline:000,2733.0,2930.872081,Left|5,Dashboard|7 -> Left|5,0.13404499999978725,Dashboard,Left
2733,Left,2930.872081,16471,2930.7404835,145.24600000004284,1.4028358371639078,0.5392301082611084,0.5675005316734314,0.5392301082611084,0.5675005316734314,True,5,Left|5,NA3_baseline:000,2734.0,2930.905592,Dashboard|4,Left|5 -> Dashboard|4,0.03351100000008955,Left,Dashboard
2737,Dashboard,2931.508791,16490,2931.523196,193.6609999997927,0.7641057964605851,0.28743708559444975,0.5249519603593009,0.2865766286849975,0.5164585709571838,True,4,Dashboard|4,NA3_baseline:000,2738.0,2931.743368,Mid|5,Dashboard|4 -> Mid|5,0.23457699999971737,Dashboard,Mid
2739,Mid,2931.944435,16503,2931.9548985,217.868499999895,0.9402428031176412,0.4115074649453163,0.4804569147527218,0.4131375551223755,0.4888583123683929,True,5,Mid|5,NA3_baseline:000,2740.0,2932.246034,Left|8,Mid|5 -> Left|8,0.3015989999998965,Mid,Left
2740,Left,2932.246034,16512,2932.2574935,217.868499999895,1.4820064847224317,0.3669531047344208,0.6671833395957947,0.3669531047344208,0.6671833395957947,True,8,Left|8,NA3_baseline:000,2740.0,2932.246034,Dashboard|4,Left|8 -> Dashboard|4,0.0,Left,Dashboard
2743,Dashboard,2932.815722,16529,2932.814268,153.31500000002052,1.1618460151052994,0.2650996347268422,0.46427371104558307,0.2611182928085327,0.4662106335163116,True,4,Dashboard|4,NA3_baseline:000,2744.0,2933.0503,Mid|5,Dashboard|4 -> Mid|5,0.2345780000000559,Dashboard,Mid
2745,Mid,2933.150833,16539,2933.1370365,197.6955000000089,0.8822380329862066,0.39127570887406665,0.5606403847535452,0.3975909650325775,0.5625940561294556,True,5,Mid|5,NA3_baseline:000,2745.0,2933.150833,Left|8,Mid|5 -> Left|8,0.0,Mid,Left
2745,Left,2933.150833,16539,2933.1370365,197.6955000000089,0.8822380329862066,0.6574180126190186,0.8019824028015137,0.6574180126190186,0.8019824028015137,True,8,Left|8,NA3_baseline:000,2746.0,2933.351899,Mid|5,Left|8 -> Mid|5,0.20106599999962782,Left,Mid
2746,Mid,2933.351899,16545,2933.3387665,173.48750000019209,1.395511003730536,0.3899303823709488,0.5120937128861746,0.3903078436851501,0.5099677443504333,True,5,Mid|5,NA3_baseline:000,2747.0,2933.552966,Dashboard|4,Mid|5 -> Dashboard|4,0.2010670000004211,Mid,Dashboard
2748,Dashboard,2933.68701,16555,2933.6938115000003,173.48749999973734,1.411521941733886,0.3324235777060191,0.5111475586891174,0.3282260596752167,0.515533983707428,True,4,Dashboard|4,NA3_baseline:000,2748.0,2933.754032,Left|8,Dashboard|4 -> Left|8,0.06702199999972436,Dashboard,Left
2748,Left,2933.754032,16557,2933.6938115000003,173.48749999973734,1.411521941733886,0.3434845507144928,0.6773983836174011,0.3434845507144928,0.6773983836174011,True,8,Left|8,NA3_baseline:000,2749.0,2933.888076,Dashboard|5,Left|8 -> Dashboard|5,0.1340440000003582,Left,Dashboard
2750,Dashboard,2934.089143,16567,2934.0932365,193.66100000024744,0.729835230810509,0.40886348485946655,0.4890754052570888,0.4073131084442138,0.4937239587306976,True,5,Dashboard|5,NA3_baseline:000,2751.0,2934.32372,Mid|5,Dashboard|5 -> Mid|5,0.23457699999971737,Dashboard,Mid
2754,Mid,2934.926919,16592,2934.912261,217.86800000018047,0.8855925802201179,0.4029622163091387,0.4953914284706116,0.4027140140533447,0.49989914894104,True,5,Mid|5,NA3_baseline:000,2755.0,2935.127986,Left|8,Mid|5 -> Left|8,0.20106699999996636,Mid,Left
2755,Left,2935.127986,16598,2935.134164,217.868499999895,1.06458006514239,0.5424830317497253,0.8186581134796143,0.5424830317497253,0.8186581134796143,True,8,Left|8,NA3_baseline:000,2755.0,2935.127986,Mid|5,Left|8 -> Mid|5,0.0,Left,Mid
2755,Mid,2935.127986,16598,2935.134164,217.868499999895,1.06458006514239,0.4054435007274151,0.529438316822052,0.4091552793979645,0.5291446447372437,True,5,Mid|5,NA3_baseline:000,2754.0,2935.127986,Left|8,Mid|5 -> Left|8,0.0,Mid,Left
2754,Left,2935.127986,16598,2934.912261,217.86800000018047,0.8855925802201179,0.5447067022323608,0.801943838596344,0.5447067022323608,0.801943838596344,True,8,Left|8,NA3_baseline:000,2756.0,2935.362563,Mid|5,Left|8 -> Mid|5,0.23457700000017212,Left,Mid
2756,Mid,2935.362563,16605,2935.356067,96.8300000004092,0.6440635253303266,0.40603435784578323,0.5016935914754868,0.4047984480857849,0.5009818077087402,True,5,Mid|5,NA3_baseline:000,2757.0,2935.496607,Dashboard|8,Mid|5 -> Dashboard|8,0.13404399999990346,Mid,Dashboard
