fixationid,world_timestamp,world_index,start_timestamp,duration,dispersion,norm_pos_x,norm_pos_y,x_scaled,y_scaled,on_surf,aoi,next_fixation_id,next_world_timestamp,next_aoi,transition,transition_duration
60,2739.60057,418,2739.6142455,217.87799999992785,0.8145220287162409,0.4913334362208843,0.35372919961810106,0.5058213472366333,0.3556444346904754,True,5,61.0,2739.835147,5.0,5 -> 5.0,0.23457699999971737
61,2739.835147,425,2739.836158,217.87799999992785,0.9623672207488874,0.48874637112021446,0.34963383898139,0.5080045461654663,0.3488980531692505,True,5,62.0,2740.069725,2.0,5 -> 2.0,0.2345780000000559
62,2740.069725,432,2740.0580705,217.87799999992785,0.9735711100947944,0.4932578078338078,0.3327190748282841,0.4983651041984558,0.3129110038280487,True,2,63.0,2740.270792,2.0,2 -> 2.0,0.20106699999996636
63,2740.270792,438,2740.2799830000004,217.8779999994731,1.2161670761842989,0.49211575463414187,0.3020468242466449,0.4938304424285888,0.3098469376564026,True,2,64.0,2740.505369,2.0,2 -> 2.0,0.23457700000017212
64,2740.505369,445,2740.5018955,217.87799999992785,0.5633120523931557,0.5082885750702449,0.3162864148616791,0.4948337376117706,0.3092411756515503,True,2,65.0,2740.739947,2.0,2 -> 2.0,0.2345780000000559
65,2740.739947,452,2740.723808,217.8780000003826,0.5410669325248777,0.5090059978621346,0.3095913699695042,0.5026752948760986,0.3104796111583709,True,2,66.0,2740.941014,2.0,2 -> 2.0,0.20106699999996636
66,2740.941014,458,2740.9457205,217.87750000021333,0.5730719755269411,0.4959085993468761,0.3167164959013462,0.4989772140979767,0.3049535453319549,True,2,67.0,2741.175591,2.0,2 -> 2.0,0.23457700000017212
67,2741.175591,465,2741.167633,217.8780000003826,0.947963067134046,0.5040472490446908,0.32606487614767893,0.5045561790466309,0.3268169164657593,True,2,68.0,2741.376658,5.0,2 -> 5.0,0.20106699999996636
68,2741.376658,471,2741.3895455,217.87750000021333,0.3997018909533365,0.5149714276194572,0.3665926046669483,0.512451171875,0.3723512887954712,True,5,69.0,2741.611235,5.0,5 -> 5.0,0.23457699999971737
69,2741.611235,478,2741.6114580000003,217.8779999994731,0.3832703038714212,0.5195324644446373,0.3596319481730461,0.5222566723823547,0.3608875572681427,True,5,70.0,2741.845813,5.0,5 -> 5.0,0.2345780000000559
70,2741.845813,485,2741.8333705,217.87749999975856,0.3616630227313311,0.5227418712207249,0.3637479415961674,0.5250033736228943,0.3683401346206665,True,5,71.0,2742.04688,5.0,5 -> 5.0,0.20106699999996636
71,2742.04688,491,2742.055283,217.87750000021333,0.529396140744397,0.5160977244377136,0.3622406236827373,0.514110803604126,0.365181565284729,True,5,72.0,2742.281457,5.0,5 -> 5.0,0.23457700000017212
